file,line,col,severity,message,code
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,83,,error,"Untyped decorator makes function ""get_mood_history"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,100,,error,"Untyped decorator makes function ""join_voice"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,101,,error,"Missing type arguments for generic type ""dict""",type-arg
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,118,,error,"Untyped decorator makes function ""leave_voice"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,119,,error,"Missing type arguments for generic type ""dict""",type-arg
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,135,,error,"Untyped decorator makes function ""get_voice_status"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,155,,error,"Untyped decorator makes function ""get_voice_files"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,169,,error,"Untyped decorator makes function ""load_voice_file"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,190,,error,"Untyped decorator makes function ""clear_voice"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,203,,error,"Untyped decorator makes function ""get_voice_channels"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,226,,error,"Untyped decorator makes function ""leave_all_voice_channels"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,240,,error,"Untyped decorator makes function ""test_tts_voice"" untyped",untyped-decorator
